id,name,description,continent,language,country_code
5051,Indonesia,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",Asia,Chinese,ID
5052,China,Sed ante. Vivamus tortor. Duis mattis egestas metus.,Oceania,Italian,CN
5053,Ivory Coast,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",Oceania,Italian,CI
5054,China,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,North America,Japanese,CN
5055,Indonesia,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,Europe,French,ID
5056,Brazil,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",Africa,French,BR
5057,Ukraine,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,South America,Russian,UA
5058,Sweden,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,Europe,German,SE
5059,Indonesia,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",Asia,French,ID
5060,China,Sed ante. Vivamus tortor. Duis mattis egestas metus.,South America,Russian,CN
5061,Czech Republic,Sed ante. Vivamus tortor. Duis mattis egestas metus.,Africa,Italian,CZ
5062,Kazakhstan,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",Africa,French,KZ
5063,Kosovo,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",North America,Chinese,XK
5064,Georgia,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,Oceania,Spanish,GE
5065,Niger,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,Oceania,Spanish,NE
5066,Czech Republic,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",Oceania,Chinese,CZ
5067,Indonesia,Fusce consequat. Nulla nisl. Nunc nisl.,South America,Russian,ID
5068,Brazil,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",Asia,German,BR
5069,Philippines,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",Africa,Russian,PH
5070,Indonesia,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,Europe,French,ID
5071,China,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,North America,Japanese,CN
5072,Portugal,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,North America,English,PT
5073,Egypt,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,Oceania,Japanese,EG
5074,Costa Rica,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",Oceania,Russian,CR
5075,Philippines,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",Oceania,Spanish,PH
5076,Canada,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",Africa,Italian,CA
5077,China,Sed ante. Vivamus tortor. Duis mattis egestas metus.,Africa,Spanish,CN
5078,Indonesia,Sed ante. Vivamus tortor. Duis mattis egestas metus.,North America,Spanish,ID
5079,China,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,Oceania,English,CN
5080,Ethiopia,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,Asia,Spanish,ET
5081,Lithuania,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",Europe,Spanish,LT
5082,Thailand,In congue. Etiam justo. Etiam pretium iaculis justo.,Africa,English,TH
5083,Sierra Leone,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",Asia,Russian,SL
5084,China,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",Africa,Russian,CN
5085,China,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",Oceania,Chinese,CN
5086,South Korea,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",South America,French,KR
5087,United States,Phasellus in felis. Donec semper sapien a libero. Nam dui.,Africa,Chinese,US
5088,Indonesia,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,North America,German,ID
5089,Philippines,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",South America,French,PH
5090,Indonesia,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,North America,English,ID
5091,Poland,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",Oceania,Russian,PL
5092,Dominican Republic,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,Oceania,Chinese,DO
5093,Israel,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,Asia,Spanish,IL
5094,Haiti,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",Oceania,Spanish,HT
5095,Botswana,Phasellus in felis. Donec semper sapien a libero. Nam dui.,Africa,Spanish,BW
5096,Russia,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",North America,Italian,RU
5097,Mexico,Phasellus in felis. Donec semper sapien a libero. Nam dui.,Asia,Russian,MX
5098,Poland,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",Africa,Japanese,PL
5099,China,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,North America,Russian,CN
5100,Philippines,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,Africa,Japanese,PH
5101,Syria,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,Africa,Spanish,SY
5102,Philippines,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,Europe,English,PH
5103,Ukraine,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,Oceania,Russian,UA
5104,Kazakhstan,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",Asia,Japanese,KZ
5105,South Africa,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",North America,English,ZA
5106,Philippines,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",South America,Russian,PH
5107,Canada,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",Asia,English,CA
5108,China,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,Oceania,German,CN
5109,Indonesia,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",Oceania,Italian,ID
5110,Iran,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",Oceania,Italian,IR
5111,Netherlands,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",South America,French,NL
5112,United States,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,Africa,Spanish,US
5113,Peru,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",Oceania,French,PE
5114,Argentina,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",South America,Italian,AR
5115,China,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",Asia,French,CN
5116,Poland,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",Oceania,German,PL
5117,Ecuador,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",Europe,Japanese,EC
5118,Guatemala,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",Europe,Chinese,GT
5119,Philippines,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,South America,German,PH
5120,Indonesia,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",Asia,Italian,ID
5121,Argentina,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,North America,Spanish,AR
5122,China,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",Oceania,Chinese,CN
5123,Japan,Sed ante. Vivamus tortor. Duis mattis egestas metus.,North America,Japanese,JP
5124,Colombia,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,Asia,French,CO
5125,North Korea,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",South America,Spanish,KP
5126,Indonesia,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,Africa,Russian,ID
5127,China,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,South America,German,CN
5128,China,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",North America,Chinese,CN
5129,China,Fusce consequat. Nulla nisl. Nunc nisl.,Oceania,German,CN
5130,Sweden,Phasellus in felis. Donec semper sapien a libero. Nam dui.,South America,Chinese,SE
5131,Indonesia,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,Africa,Italian,ID
5132,Niger,Fusce consequat. Nulla nisl. Nunc nisl.,Africa,Japanese,NE
5133,Brazil,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",South America,German,BR
5134,Tonga,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,South America,Russian,TO
5135,Senegal,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,Europe,Spanish,SN
5136,China,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",Asia,Chinese,CN
5137,Russia,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,Africa,Spanish,RU
5138,Costa Rica,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",Europe,Chinese,CR
5139,Russia,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",South America,Spanish,RU
5140,Indonesia,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",Africa,Spanish,ID
5141,Czech Republic,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",North America,Spanish,CZ
5142,China,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,North America,Chinese,CN
5143,Philippines,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,Asia,German,PH
5144,Ukraine,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,South America,German,UA
5145,China,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",Asia,Italian,CN
5146,Argentina,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,Africa,Chinese,AR
5147,Indonesia,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,South America,Spanish,ID
5148,Russia,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",Africa,Japanese,RU
5149,Uganda,Sed ante. Vivamus tortor. Duis mattis egestas metus.,Oceania,English,UG
5150,Ethiopia,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",Asia,Japanese,ET
